shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
800_to_658,9.19524,37.35524,218,25428.29
800_to_658,9.19498,37.35389,219,25579.26
800_to_658,9.19491,37.35365,220,25606.73
800_to_658,9.19459,37.35297,221,25689.42
800_to_658,9.19417,37.35221,222,25785.03
800_to_658,9.19405,37.35195,223,25816.53
800_to_658,9.19379,37.35119,224,25904.82
800_to_658,9.1935,37.35021,225,26017.12
800_to_658,9.19322,37.3495,226,26101.05
800_to_658,9.19283,37.34889,227,26180.82
800_to_658,9.19211,37.34794,228,26312.29
800_to_658,9.19128,37.34699,229,26451.54
800_to_658,9.19061,37.34625,230,26561.76
800_to_658,9.19049,37.34601,231,26591.29
800_to_658,9.19041,37.34574,232,26622.24
800_to_658,9.19037,37.34545,233,26654.38
800_to_658,9.19022,37.34345,234,26874.54
800_to_658,9.19014,37.34229,235,27002.19
800_to_658,9.19007,37.34192,236,27043.54
800_to_658,9.18999,37.34162,237,27077.65
800_to_658,9.18988,37.34146,238,27099.05
800_to_658,9.18967,37.34129,239,27128.94
800_to_658,9.18895,37.34051,240,27246.16
800_to_658,9.1888,37.34021,241,27283.08
800_to_658,9.1887,37.33941,242,27371.59
800_to_658,9.18862,37.3389,243,27428.28
800_to_658,9.18849,37.33853,244,27471.39
800_to_658,9.18781,37.33778,245,27583.17
800_to_658,9.18757,37.33745,246,27628.16
800_to_658,9.18733,37.33682,247,27702.28
800_to_658,9.18672,37.33497,248,27916.38
800_to_658,9.18656,37.33446,249,27975.12
800_to_658,9.18624,37.33334,250,28103.11
800_to_658,9.18617,37.33284,251,28158.54
800_to_658,9.18637,37.33172,252,28283.48
800_to_658,9.18644,37.33115,253,28346.53
800_to_658,9.18637,37.33072,254,28394.37
800_to_658,9.18627,37.3304,255,28431.21
800_to_658,9.18525,37.32857,256,28661.90
800_to_658,9.18478,37.32749,257,28791.46
800_to_658,9.18457,37.3266,258,28891.90
800_to_658,9.18434,37.32559,259,29005.68
800_to_658,9.18423,37.3245,260,29125.95
800_to_658,9.18418,37.32409,261,29171.30
800_to_658,9.18404,37.32286,262,29307.21
800_to_658,9.18375,37.32139,263,29471.76
800_to_658,9.18361,37.32107,264,29510.19
800_to_658,9.18312,37.32042,265,29599.96
800_to_658,9.18196,37.31908,266,29795.60
800_to_658,9.18171,37.31892,267,29828.48
800_to_658,9.18157,37.31885,268,29845.84
800_to_658,9.18135,37.31874,269,29873.12
800_to_658,9.17962,37.31847,270,30067.76
800_to_658,9.1781,37.31827,271,30238.19
800_to_658,9.17665,37.31808,272,30400.77
800_to_658,9.17662,37.31808,273,30404.11
800_to_658,9.17556,37.31796,274,30522.71
800_to_658,9.17471,37.31776,275,30619.74
800_to_658,9.17467,37.31774,276,30624.70
800_to_658,9.17445,37.31762,277,30652.48
800_to_658,9.17417,37.31739,278,30692.57
800_to_658,9.17405,37.31729,279,30709.85
800_to_658,9.17383,37.31699,280,30750.87
800_to_658,9.17355,37.31633,281,30829.73
800_to_658,9.17346,37.31601,282,30866.25
800_to_658,9.17306,37.31492,283,30993.90
800_to_658,9.17258,37.31356,284,31152.45
800_to_658,9.1724,37.31292,285,31225.50
800_to_658,9.17231,37.31241,286,31282.37
800_to_658,9.17227,37.31173,287,31357.15
800_to_658,9.17228,37.31136,288,31397.78
800_to_658,9.17234,37.31068,289,31472.72
800_to_658,9.17242,37.30967,290,31583.95
800_to_658,9.17242,37.30965,291,31586.14
800_to_658,9.17242,37.30909,292,31647.62
800_to_658,9.1724,37.30888,293,31670.78
800_to_658,9.17213,37.30771,294,31802.67
800_to_658,9.17175,37.30633,295,31959.94
800_to_658,9.17152,37.30544,296,32060.93
800_to_658,9.17136,37.30499,297,32113.44
800_to_658,9.1713,37.30483,298,32132.23
800_to_658,9.1712,37.30461,299,32158.81
800_to_658,9.17104,37.3044,300,32187.93
800_to_658,9.1709,37.3043,301,32206.98
800_to_658,9.17078,37.30421,302,32223.58
800_to_658,9.17044,37.30406,303,32264.82
800_to_658,9.16985,37.30399,304,32330.87
800_to_658,9.16863,37.30385,305,32467.40
800_to_658,9.16731,37.3037,306,32615.10
800_to_658,9.16651,37.30347,307,32707.57
800_to_658,9.1657,37.30305,308,32808.75
800_to_658,9.164,37.30223,309,33018.12
800_to_658,9.163,37.3017,310,33143.62
800_to_658,9.16204,37.30126,311,33260.78
800_to_658,9.16155,37.30111,312,33317.70
800_to_658,9.16101,37.30108,313,33377.84
800_to_658,9.15776,37.30112,314,33739.25
800_to_658,9.15726,37.30104,315,33795.53
800_to_658,9.15657,37.30083,316,33875.65
800_to_658,9.15604,37.30061,317,33939.34
800_to_658,9.15535,37.30017,318,34030.00
800_to_658,9.15446,37.2995,319,34153.30
800_to_658,9.15421,37.29937,320,34184.55
800_to_658,9.15397,37.29928,321,34213.01
800_to_658,9.15371,37.29924,322,34242.25
800_to_658,9.15193,37.29916,323,34440.37
800_to_658,9.15158,37.2991,324,34479.84
800_to_658,9.15132,37.29905,325,34509.27
800_to_658,9.15115,37.29899,326,34529.29
800_to_658,9.15097,37.29889,327,34552.12
800_to_658,9.14962,37.29814,328,34723.33
800_to_658,9.14831,37.2974,329,34890.11
800_to_658,9.14739,37.29687,330,35007.80
800_to_658,9.14596,37.29608,331,35188.93
800_to_658,9.14567,37.296,332,35222.35
800_to_658,9.14549,37.29596,333,35242.84
800_to_658,9.14533,37.29598,334,35260.76
800_to_658,9.14511,37.29605,335,35286.41
800_to_658,9.14488,37.29611,336,35312.81
800_to_658,9.14455,37.29621,337,35351.12
800_to_658,9.14425,37.29634,338,35387.40
800_to_658,9.14406,37.29641,339,35409.88
800_to_658,9.14385,37.29642,340,35433.26
800_to_658,9.14364,37.29635,341,35457.84
800_to_658,9.14164,37.29593,342,35684.96
800_to_658,9.14063,37.29568,343,35800.57
800_to_658,9.13916,37.29531,344,35969.00
800_to_658,9.13693,37.29477,345,36223.95
800_to_658,9.13604,37.29449,346,36327.58
800_to_658,9.13577,37.29431,347,36363.52
800_to_658,9.13563,37.29411,348,36390.44
800_to_658,9.13555,37.29381,349,36424.55
800_to_658,9.13522,37.29177,350,36651.50
800_to_658,9.13515,37.29119,351,36715.65
800_to_658,9.13511,37.29092,352,36745.62
800_to_658,9.13505,37.29069,353,36771.74
800_to_658,9.13497,37.29049,354,36795.43
800_to_658,9.13481,37.29031,355,36822.02
800_to_658,9.13467,37.29022,356,36840.46
800_to_658,9.13438,37.29018,357,36873.00
800_to_658,9.13408,37.29022,358,36906.65
800_to_658,9.13267,37.29076,359,37074.27
800_to_658,9.13092,37.29148,360,37284.30
800_to_658,9.12832,37.29242,361,37591.27
800_to_658,9.12596,37.29334,362,37872.46
800_to_658,9.12563,37.2935,363,37913.14
800_to_658,9.12532,37.29371,364,37954.61
800_to_658,9.12367,37.29547,365,38221.07
800_to_658,9.12352,37.29554,366,38239.43
800_to_658,9.12288,37.29564,367,38311.44
