shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
328_to_837,8.78486,39.00523,242,30956.60
328_to_837,8.78529,39.00492,243,31015.31
328_to_837,8.78603,39.00434,244,31119.39
328_to_837,8.78705,39.00361,245,31258.31
328_to_837,8.78787,39.00299,246,31372.13
328_to_837,8.78861,39.00244,247,31474.23
328_to_837,8.78978,39.00157,248,31635.68
328_to_837,8.79061,39.00095,249,31750.39
328_to_837,8.7914,39.0004,250,31857.02
328_to_837,8.79194,38.99995,251,31934.81
328_to_837,8.79233,38.99963,252,31990.64
328_to_837,8.79283,38.99921,253,32062.89
328_to_837,8.7931,38.99897,254,32102.86
328_to_837,8.79355,38.99854,255,32171.68
328_to_837,8.79406,38.99802,256,32252.18
328_to_837,8.79451,38.99753,257,32325.69
328_to_837,8.79491,38.99708,258,32392.20
328_to_837,8.79538,38.99658,259,32468.03
328_to_837,8.79603,38.99582,260,32578.48
328_to_837,8.79652,38.99514,261,32670.95
328_to_837,8.79681,38.99471,262,32728.16
328_to_837,8.79726,38.99401,263,32819.92
328_to_837,8.79754,38.99355,264,32879.29
328_to_837,8.79784,38.99303,265,32945.46
328_to_837,8.79811,38.99252,266,33009.03
328_to_837,8.7984,38.99195,267,33079.48
328_to_837,8.79878,38.99114,268,33178.01
328_to_837,8.79895,38.99073,269,33226.87
328_to_837,8.79927,38.98993,270,33321.71
328_to_837,8.79964,38.98886,271,33446.27
328_to_837,8.79997,38.98782,272,33566.30
328_to_837,8.80057,38.98579,273,33799.13
328_to_837,8.80168,38.98208,274,34225.08
328_to_837,8.80217,38.9804,275,34417.56
328_to_837,8.80289,38.97801,276,34692.12
328_to_837,8.80362,38.97556,277,34973.31
328_to_837,8.80391,38.97456,278,35087.83
328_to_837,8.80486,38.97138,279,35452.88
328_to_837,8.8053,38.97005,280,35607.00
328_to_837,8.80563,38.96912,281,35715.58
328_to_837,8.80592,38.96837,282,35804.08
328_to_837,8.80616,38.96777,283,35875.20
328_to_837,8.80638,38.96725,284,35937.36
328_to_837,8.80676,38.9664,285,36039.88
328_to_837,8.80714,38.96556,286,36141.39
328_to_837,8.80744,38.96496,287,36215.28
328_to_837,8.80805,38.96378,288,36361.61
328_to_837,8.80843,38.96308,289,36449.37
328_to_837,8.80883,38.96237,290,36539.18
328_to_837,8.81023,38.95994,291,36848.26
328_to_837,8.81116,38.95829,292,37056.98
328_to_837,8.81181,38.95711,293,37205.43
328_to_837,8.8123,38.95615,294,37324.16
328_to_837,8.81277,38.95515,295,37445.83
328_to_837,8.8131,38.95441,296,37535.04
328_to_837,8.81333,38.95386,297,37600.67
328_to_837,8.81363,38.9531,298,37690.59
328_to_837,8.81382,38.95259,299,37750.48
328_to_837,8.81405,38.95196,300,37824.28
328_to_837,8.81417,38.95158,301,37868.12
328_to_837,8.81438,38.95092,302,37944.30
328_to_837,8.81477,38.94959,303,38096.75
328_to_837,8.81507,38.94838,304,38233.82
328_to_837,8.8153,38.94737,305,38347.71
328_to_837,8.81551,38.94631,306,38466.50
328_to_837,8.81566,38.94547,307,38560.30
328_to_837,8.8164,38.94156,308,38997.74
328_to_837,8.8165,38.94099,309,39061.36
328_to_837,8.81685,38.93915,310,39267.25
328_to_837,8.81693,38.93875,311,39312.09
328_to_837,8.81783,38.93402,312,39841.38
328_to_837,8.81803,38.93297,313,39958.87
328_to_837,8.81828,38.93154,314,40118.44
328_to_837,8.81852,38.93021,315,40267.00
328_to_837,8.81859,38.92966,316,40327.93
328_to_837,8.81864,38.92916,317,40383.15
328_to_837,8.81867,38.9287,318,40433.81
328_to_837,8.8187,38.92805,319,40505.31
328_to_837,8.8187,38.92765,320,40549.26
328_to_837,8.81868,38.92715,321,40604.25
328_to_837,8.81865,38.92664,322,40660.39
328_to_837,8.81861,38.92615,323,40714.41
328_to_837,8.81851,38.92529,324,40809.56
328_to_837,8.81833,38.92432,325,40918.01
